ID,L.,a.,b.,YI.E313..D65.10.,Haze...D65.10
sa22083.00,96.75,-0.05,0.33,0.57,1.9
sa22083.01,96.78,-0.04,0.35,0.61,2.2
sa22083.02,96.75,-0.02,0.36,0.65,4.4
sa22083.03,96.8,-0.03,0.33,0.59,1.4
sa22083.04,96.75,-0.03,0.37,0.65,3.7
sa22083.05,96.8,-0.04,0.37,0.65,2.8
sa22083.06,96.78,-0.02,0.36,0.64,3.4
sa22083.07,96.7,-0.03,0.39,0.69,6.3
sa22083.08,96.81,-0.05,0.38,0.66,3.1
sa22083.09,96.86,-0.03,0.32,0.57,1.3
sa22084.00,96.79,-0.03,0.33,0.59,2.1
sa22084.01,96.78,-0.03,0.34,0.6,2.6
sa22084.02,96.79,-0.04,0.33,0.57,2.6
sa22084.03,96.81,-0.02,0.36,0.65,2.9
sa22084.04,96.81,-0.04,0.35,0.62,2.7
sa22084.08,96.83,-0.02,0.35,0.63,2.6
sa22084.09,96.82,-0.03,0.34,0.61,2.2
sa22085.00,96.79,-0.03,0.35,0.63,2.5
sa22085.01,96.81,-0.03,0.38,0.67,2.8
sa22085.02,96.78,-0.03,0.34,0.6,2.5
sa22085.03,96.81,-0.04,0.34,0.6,2
sa22085.04,96.84,-0.04,0.35,0.62,1.5
sa22085.05,96.78,-0.04,0.37,0.65,2.7
sa22084.05,96.81,-0.03,0.35,0.61,3.3
sa22085.06,96.79,-0.04,0.34,0.59,2
sa22084.06,96.8,-0.03,0.36,0.64,2.8
sa22085.07,96.8,-0.02,0.34,0.62,3.4
sa22084.07,96.82,-0.04,0.32,0.56,2.2
sa22085.08,96.82,-0.05,0.35,0.6,2.5
sa22085.09,96.83,-0.04,0.34,0.59,1.6
