ID,L*,a*,b*,YI E313 [D65/10],Haze % D65/10
sa22089.09,94.55,0.05,1.56,3.01,15.5
sa22089.08,94.19,0.07,1.7,3.31,20.4
sa22087.09,94.63,-0.22,1.45,2.61,8.4
sa22087.08,94.96,-0.25,1.28,2.24,5.4
sa22085.04,95.78,-0.01,1.07,2.01,7.9
sa22085.03,95.84,-0.02,1.04,1.95,7.5
sa22081.04,95.17,-0.24,1.41,2.5,5.7
a22081.03,95.2,-0.23,1.39,2.46,5.5
sa22079.04,95.73,-0.03,1.09,2.04,8.1
sa22079.03,95.42,-0.02,1.12,2.11,9.3
sa22076.04,95.03,-0.22,1.46,2.61,7.7
sa22076.03,95.12,-0.45,1.4,2.32,5.3
sa22073.04,95.5,0,1.17,2.21,8.9
sa22073.03,95.23,0,1.27,2.42,11.8
sa22070.04,94.97,-0.2,1.48,2.67,6.7
sa22070.03,95.17,-0.15,1.42,2.58,6.2
sa22079.08,95.24,-0.02,1.23,2.33,9.8
sa22079.07,95.33,-0.01,1.07,2.02,10.1
sa22076.08,95.17,-0.25,1.46,2.58,5
sa22076.07,94.87,-0.22,1.54,2.77,6.1
sa22073.08,95.4,0,0.99,1.87,7.9
sa22073.07,94.83,0.02,1.31,2.51,7.8
sa22070.08,95.1,-0.24,1.46,2.6,5.4
sa22070.07,94.49,-0.16,1.66,3.05,24.9
sa22082.02,94.81,-0.22,1.62,2.92,7
sa22082.03,95.07,-0.27,1.52,2.68,4.6
sa22089.13,93.88,0.09,1.87,3.66,11.5
sa22089.12,94.4,0.08,1.65,3.22,11.6
sa22087.13,94.35,-0.17,1.86,3.42,23.6
sa22087.12,94.6,-0.2,1.73,3.14,17
sa22085.08,95.72,-0.01,0.92,1.73,8.6
sa22085.07,95.8,-0.03,0.94,1.76,7.9
